numb_row|description
1|Число избирателей, внесенных в список
2|Число бюллетеней, полученных УИК
3|Число бюллетеней, выданных в помещении для голосования
4|Число бюллетеней, выданных вне помещения для голосования
5|Число погашенных бюллетеней
6|Число бюллетеней, содержащихся в переносных ящиках
7|Число бюллетеней, содержащихся в стационарных ящиках
8|Число недействительных бюллетеней
9|Число действительных бюллетеней
9ж|Число утраченных бюллетеней
9з|Число бюллетеней, не учтенных при получении
10|Балакин Михаил Дмитриевич
11|Дегтярев Михаил Владимирович
12|Кумин Вадим Валентинович
13|Свиридов Илья Тимурович
14|Собянин Сергей Семенович
